"country_code","country_name","track_id","track_name","popularity","album_id","album_name"
"BR","Brazil","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"BR","Brazil","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"BR","Brazil","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"BR","Brazil","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"BR","Brazil","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"CA","Canada","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"CA","Canada","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"CA","Canada","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"CA","Canada","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"CA","Canada","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"CA","Canada","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"CA","Canada","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"CA","Canada","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"CA","Canada","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"CA","Canada","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"CH","Switzerland","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"CH","Switzerland","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"CH","Switzerland","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"CH","Switzerland","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"CH","Switzerland","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"CH","Switzerland","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"CH","Switzerland","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"CH","Switzerland","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"CH","Switzerland","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"CH","Switzerland","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"DE","Germany","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"DE","Germany","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"DE","Germany","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"DE","Germany","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"DE","Germany","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"DE","Germany","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"DE","Germany","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"DE","Germany","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"DE","Germany","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"DE","Germany","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"DK","Denmark","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"DK","Denmark","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"DK","Denmark","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"DK","Denmark","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"DK","Denmark","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"DK","Denmark","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"DK","Denmark","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"DK","Denmark","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"DK","Denmark","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"DK","Denmark","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"ES","Spain","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"ES","Spain","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"ES","Spain","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"ES","Spain","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"ES","Spain","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
